Model,Sample,Split,Metric,Value
LR,0.7,0.8,F1-Score,0.6749366409375182
LR,0.7,0.8,AUC,0.6420210056808764
KNN,0.7,0.8,Accuracy,0.8696325631157882
KNN,0.7,0.8,Precision,0.8359159167958776
KNN,0.7,0.8,Recall,0.6663946066332143
KNN,0.7,0.8,F1-Score,0.7067899149960246
KNN,0.7,0.8,AUC,0.6663946066332143
DTC,0.7,0.8,Accuracy,0.9367644475671878
DTC,0.7,0.8,Precision,0.894041032582561
DTC,0.7,0.8,Recall,0.8866051118846345
DTC,0.7,0.8,F1-Score,0.8902601991142234
DTC,0.7,0.8,AUC,0.8866051118846345
RFC,0.7,0.8,Accuracy,0.9491081551506635
RFC,0.7,0.8,Precision,0.9236540481799209
RFC,0.7,0.8,Recall,0.8972611654084355
RFC,0.7,0.8,F1-Score,0.9097296141079076
RFC,0.7,0.8,AUC,0.8972611654084355
XGB,0.7,0.8,Accuracy,0.9544496431023746
XGB,0.7,0.8,Precision,0.9282453208716057
XGB,0.7,0.8,Recall,0.9127731416602625
XGB,0.7,0.8,F1-Score,0.9202631740407208
XGB,0.7,0.8,AUC,0.9127731416602625
LR,0.7,0.7,Accuracy,0.8558881768049907
LR,0.7,0.7,Precision,0.786308855490736
LR,0.7,0.7,Recall,0.6425574366281541
LR,0.7,0.7,F1-Score,0.675508169048224
LR,0.7,0.7,AUC,0.6425574366281541
KNN,0.7,0.7,Accuracy,0.8686631038814486
KNN,0.7,0.7,Precision,0.8315513088574378
KNN,0.7,0.7,Recall,0.6638728352402005
KNN,0.7,0.7,F1-Score,0.7036478103550171
KNN,0.7,0.7,AUC,0.6638728352402005
DTC,0.7,0.7,Accuracy,0.9361892392530926
DTC,0.7,0.7,Precision,0.8920173754114352
DTC,0.7,0.7,Recall,0.8865672864879178
DTC,0.7,0.7,F1-Score,0.8892584443822689
DTC,0.7,0.7,AUC,0.8865672864879178
RFC,0.7,0.7,Accuracy,0.9484318777013648
RFC,0.7,0.7,Precision,0.9223359569038729
RFC,0.7,0.7,Recall,0.8956726353282307
RFC,0.7,0.7,F1-Score,0.9082601630250254
RFC,0.7,0.7,AUC,0.8956726353282307
XGB,0.7,0.7,Accuracy,0.9534140992611834
XGB,0.7,0.7,Precision,0.9264594717413908
XGB,0.7,0.7,Recall,0.910440421155136
XGB,0.7,0.7,F1-Score,0.9181854371443006
XGB,0.7,0.7,AUC,0.9104404211551359
LR,0.7,0.6,Accuracy,0.8561425360591798
LR,0.7,0.6,Precision,0.7854971452724688
LR,0.7,0.6,Recall,0.6431668515118102
LR,0.7,0.6,F1-Score,0.6761253912038576
LR,0.7,0.6,AUC,0.6431668515118102
KNN,0.7,0.6,Accuracy,0.8676519316063251
KNN,0.7,0.6,Precision,0.8296115928530646
KNN,0.7,0.6,Recall,0.6599045332684197
KNN,0.7,0.6,F1-Score,0.6992060766362057
KNN,0.7,0.6,AUC,0.6599045332684196
DTC,0.7,0.6,Accuracy,0.9347840840589083
DTC,0.7,0.6,Precision,0.8887553741660412
DTC,0.7,0.6,Recall,0.8849741128328367
DTC,0.7,0.6,F1-Score,0.8868482998605645
DTC,0.7,0.6,AUC,0.8849741128328367
RFC,0.7,0.6,Accuracy,0.9479422414378161
RFC,0.7,0.6,Precision,0.9210906874993305
RFC,0.7,0.6,Recall,0.8948687833989097
RFC,0.7,0.6,F1-Score,0.9072587673689283
RFC,0.7,0.6,AUC,0.8948687833989099
XGB,0.7,0.6,Accuracy,0.952313655979656
XGB,0.7,0.6,Precision,0.9248544808300745
XGB,0.7,0.6,Recall,0.9077152501744061
XGB,0.7,0.6,F1-Score,0.9159810999545035
XGB,0.7,0.6,AUC,0.907715250174406
LR,0.7,0.5,Accuracy,0.8559369939925842
LR,0.7,0.5,Precision,0.7861651569444772
